"","sampled","detected","colonized","extinct","static","common","season"
"Season-1",464,15,NA,NA,NA,NA,"2004"
"Season-2",469,20,7,7,300,314,"2005"
"Season-3",481,20,6,9,302,317,"2006"
"Season-4",502,31,13,5,317,335,"2007"
"Season-5",507,17,7,16,328,351,"2008"
"Season-6",507,24,9,10,317,336,"2009"
"Season-7",706,43,21,13,340,374,"2010"
"Season-8",773,35,15,22,429,466,"2011"
"Season-9",926,61,22,15,459,496,"2012"
"Season-10",920,51,22,27,539,588,"2013"
"Season-11",954,60,29,21,575,625,"2014"
"Season-12",811,48,20,26,568,614,"2015"
"Season-13",818,45,24,24,554,602,"2016"
"Season-14",879,49,29,27,587,643,"2017"
"Season-15",909,51,23,27,648,698,"2018"
"Season-16",841,42,21,22,651,694,"2019"
